Folder,Ship-To-SAP,Link,Ship-To,ATTN: ,From:,CreateDate,CONTRACT NO.: ,PO Number header,PO Number,No2 Header,No2,Material Code Header,Material Code, Note Under Material,USER:,COUNTRY: ,SHIPPER:,FEEDER VESSEL : [c_feeder],MOTHER VESSEL : [c_mother],VESSEL COMPANY :[c_shpline],FORWARDER: [c_fwd],ETD: [c_etd],ETA: [c_eta],PORT of LOADING : ,PORT of DESTINATION: ,DESTINATION: ,BOOKIN NO.,CONSIGNEE,B/L ,FREE TIME :,COURIER ADDRESS,EORI?No,NOTIFY PARTY:,ALSO NOTIFY1,ALSO NOTIFY2,DELIVER TO,REQUIREMENTS:,Note,Note2,Note3,GRADE,QUANTITY(MT),Unit,DESCRIPTION,Under Description,INVOICE NO.,Shipping Mark,Below Signature
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* 2 original of Declaration of non coniferous wood packing materials issued by manufacturer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*please send us the draft of ONLY B/L before issue the original,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Det at Nhava must be 14 days as we cofirmed ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,BRIDGESTONE SA (PTY) LTD,BS S.A 4501193944 xls.xls,BRIDGESTONE SA (PTY) LTD,T. Fujioka/SEVP,D.KAWAMORI/UEDA,formula,4501193944,BFAFRICA PO No.: ,4501193944,,,,,,BRIDGESTONE SOUTH AFRICA,AFRICA,TSL ON BEHALF OF UBE Elastomer Co. Ltd.,xx,xx,xx,xx,xx,xx,,,SOUTH AFRICA,,BRIDGESTONE SA (PTY) LTD,,,,,ATTN:SHIPPING DEPT,,,,*You don't need to send original doc.by courier. Only PDF copies are OK.,,,,UBEPOL VCR412,20.16,MT,POLYBUTADIENE RUBBER ,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,189 GRAHAMSTOWN ROAD,,,,,BRIDGESTONE SA (PTY) LTD,,,,*SURRENDERED BL IS REQUIRED.,,,,,,,HB12 / UBEPOL VCR412,,,,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,"DEAL PARTY, PORT ELIZABETH, 6001, SOUTH AFRICA",,,,,Email: bsaf.imports@bridgestone.co.za,,,,"* Pls mark BS material code ""HB12"" and "" PO NO. 4501193944"" on all document",,,,,,,,,,BRIDGESTONE S.A. PTY,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* 3 COPY OF CERTIFICATE OF ANALYSIS,,,,,,,,,,PORT ELIZABETH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*PACKING LIST MUST SHOW GROSS,TARE,AND NET WEIGHT",,,,,,,,,,ORDER NO.4501193944,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* CoA IS REQUIRED PRIOR, PLEASE SEND US THE PDF AS SSON AS POSSIBLE.",,,,,,,,,,HB12(UBEPOL VCR412),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* BRIDGESTONE CODE OF  ""HB12""SHOULD BE MARKED ON ALL BAGS, DRUMS,CONTAINERS ",,,,,,,,,,C/S NO.1-UP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,BRISA BRIDGESTONE SABANCI LASTIKSANAYI VE TICARET A.S.,BS Turkey_8026803.xls,BRISA BRIDGESTONE SABANCI LASTIKSANAYI VE TICARET A.S.,MR.T. Fujioka /SEVP,KAWAMORI/UEDA,,8026803,BRISA BRIDGESTONE  PO No.: ,8026803,,,,,,BRISA BRIDGESTONE SABANCI ,TURKEY,TSL ON BE HALF OF UEC,,,,,,,,,"Y?lport(GEBZE), TURKEY",,CONSIGNEE; ,,,,,SAME AS CONSIGNEE,,,,* FULL SET OF SEA WAY BILL,,,,UBEPOL VCR412,5.04,MT,POLYBUTADIENE RUBBER ,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,LASTIK SANAYI VE TICARET A.S.,,,,,,,,,,,,,BRISA BRIDGESTONE SABANCI LASTIK SANAYI VE TICARET A.S.,,,,,,,,,* FULL SET OF CERT. OF ORIGIN BY MANUFACTURE,,,,,,,HB12 / UBEPOL VCR412,,,BRISA /TURKEY,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,Alikahya Fatih Mah.Sanayi Cad.No:98 ,,,,,,,,,"* 3 ORIGINAL OF CERTIFICATE OF ANALYSIS,",,,,,,,,,,Materila code:HB12,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,41310 ?zmit / KOCAEL? Turkey,,,,,,,,,* PLEAE SHOW PRODUCTION DATE AND TEST DATE ON COA,,,,,,,,,,ID: HB12-B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact Person : BURCU YUZUAK,,,,,,,,,* PLEASE SHOW - Material code AND ID on all Doc.,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phone : +90 (262) 316 57 53,,,,,,,,,,,,,,,,,,,"THAI SYNTHETIC RUBBERS CO.,LTD",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-Mail ?b.yuzuak@brisa.com.tr,,,,,,,,,"* Please label BS code no."" HB12 "" on each box.(4 side)",,,,,,,,,,PRODUCTION DATE: ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,BRIDGESTONE FIRESTONE NT WILSON PLANT,BS WILSON 4900235021.xlsx,,T. Fujioka/SEVP,D.KAWAMORI/UEDA,,4900235021,BFS WILSON PO No.: ,4900235021,,,,,,BRIDGESTONE FIRESTONE NT ,WILSON   USA,TSL ,,,,,,,,,WILSON USA,,Bridgestone Firestone NT  Wilson Plant,,,,,SAME AS CONSIGNEE,"V Alexander and Co., Inc.",,,"!! New INSTRUCTION,!! YOU don't need to send us the oirignal docs, only PDF copies by e-mail are ok.",,,,UBEPOL VCR412,17.64,MT,POLYBUTADIENE RUBBER ,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,WILSON PLANT,,,,,,,,,,,,,Triangle East Storage 2010 Baldree Road Wilson NC27893  USA,,,,,,22 Century Blvd # 510,,,*A non-negotiable “ Waybill,,,,,,,TC030 / UBEPOL VCR412,,,,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,TEL: 252-246-7630 ,,,,,,"Nashville, TN 37214",,,"* Pls mark BS material code ""TC030"" and "" PO NO4900235021LINE ITEM 00010 "" on all document",,,,,,,,,,"BRIDGESTONE AMERICAS, INC.",
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,ATTN: Jeff Pyle,,,,,,E-mail: BRIDGESTONE@VALEXANDER.COM,,,"* CERTIFICATE OF ANALYSIS, CERTIFICATE OF COMPLIANCE AND PACKING LIST MUST BE ",,,,,,,,,,BFS WILSON,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,pylejeff@bfusa.com,,,,,,Phone: 615-885-0020,,,ATTACHED ON CONTAINER(MANUFACTURE DATE SHOULD BE ON CoA),,,,,,,,,,ORDER NO. 4900235021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spurlinlee@bfusa.com,,,,,,,,,"*PACKING LIST MUST SHOW GROSS,TARE,AND NET WEIGHT",,,,,,,,,,TC030/UBEPOL VCR412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALL CONTAINERS (INCLUDING INDIVIDUAL BAGS, BOXES) OF MATERIALS MUST BE MARKED ",,,,,,,,,,C/NO.1 -14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITH THE  CHEMICAL AND /OR TRADENAME THAT APPEARS ON THE PRODUCT'S MSDS,,,,,,,,,,"17,640kg",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*WEIGHT IN NO LESS THAN ONE INCH(PREFERABLY 2 INCH)LETTERS,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Certificate of Origin issued by manufacturer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Declaration of non coniferous wood packing materials,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,"BRIDGESTONE (WUXI) TIRE CO., LTD.",BS WUXI 4500471133.xls,,MR.T. Fujioka /SEVP,KAWAMORI/UEDA,,4500471133,BS WUXI PO No.: ,4500471133,,,,,,BRIDGESTONE WUXI TIRE,FULL CONTACT DETAIL OF TSL ,WITH TRADE RESISTRATION NO.,,,,,,,,,SHANGHAI CHINA,,"BRIDGESTONE (WUXI) TIRE CO.,LTD.",,,,,SAME AS CONSIGNEE,Please send Arrival Notice by e-mail to ,,,*FULL SET OF SURRENDERE B/L,*Don’t  need to send all original docs to BS WUXI directly by courier including 1 original COMMERCIAL CIF I/V(I/V between TSL and UEC),,,,,,,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,"No.67, XINMEI ROAD,WUXI NATIONAL HIGH-NEW",,,,,,Xiaoqi Ding (xiaoqi.ding@bridgestone.com),,,"* Pls mark BS material code ""TC30""ON ALL DOCS.",*Please send ALL docs by PDF copies by E-mail to UEC /NO need original courier to UEC also.,,,UBEPOL VCR412,20.16,MT,POLYBUTADIENE RUBBER ,,,,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,TECHNICAL INDUSTRIAL DEVELOPMENT,,,,,,Chen Huiyun(huiyun.chen@bridgestone.com),,,*3 ORIGINAL OF CERTIFICATE OF ANALYSIS & 1 ORIGINAL CoA TOGETHER WITH PRODUCT,,,,,,,TC30 / UBEPOL VCR412,,,"BRIDGESTONE (WUXI) TIRE CO.,LTD.",
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,"ZONE, WUXI 214028, JIANGSU, CHINA",,,,,,,,,*3 ORIGINAL OF  NO WOOD PACKING OR IPPC CERT.,,,,,,,,,,ORDER NO.:4500471133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAX:86-0510-8532-2199,,,,,,,,,"* PACKING LIST MUST SHOW GROSS,TARE,AND NET WEIGHT",,,,,,,,,,TC30 (UBEPOL VCR412),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL:86-0510-8532-2288,,,,,,,,,"* BRIDGESTONE CODE OF  ""TC30""SHOULD BE MARKED ON ALL BAGS, DRUMS,CONTAINERS ",,,,,,,,,,C/S NO.1-16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaoqi.ding@bridgestone.com,,,,,,,,,*PLEASE ISSUE FULL SET OF FORM-E WITH UBE INVOICE,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,huiyun.chen@bridgestone.com,,,,,,,,,*TSL FOB CUSTOM I/V for Form-E ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI:913202147462278772.,,,,,,,,,*No need to issue individual I/P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please send Arrival Notice by e-mail to Xiaoqi Ding (xiaoqi.ding@bridgestone.com),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*CIF COMMERCIAL IV(BETWEEN TSL AND UEC) ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Please label BS code no."" TC30 or TC50 "" on each box.(4 side)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,P.T. BRIDGESTONE TIRE INDONESIA,BSIN F2602-TSL-2.xlsx,,MR.FUJIOKA,Miyanami,,F2602-TSL-2,CO NUMBER:,F2602-TSL-2,,,,,,BS INDONESIA,INDONESIA,TSL ,,,,,,,,,"JAKARTA, INDONESIA",,PT. BRIDGESTONE TIRE INDONESIA,,,PT Bridgestone Tire Indonesia -  Karawang Plant,,"Kawasan Industri Surya Cipta Jl. Surya Utama Kav 8 – 13,","Kutamekar, Ciampel, Kab. Karawang, Jawa Barat, 41363",,,*please extend the free time as long as possible.,,,,UBEPOL BR150L,40.32,MT,SYNTHETIC RUBBER ,,,SHIPPING MARK,Ube Elastomer Co.Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co.Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,"Kawasan Industri Surya Cipta Jl. Surya Utama Kav 8 – 13,",,,,,,* Surrenderd B/L(MASTER BL),,,,,,,,,,,
,,,,"CO., LTD.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kutamekar, Ciampel, Kab. Karawang, Jawa Barat, 41363",,,,,,* Pls mark  CO NUMBER: F2602-TSL-2 on all document,,,,,,,/ UBEPOL BR150L(TC50),,,BRIDGESTONE INDONESIA,
,,,,FAX:66-2-685-3056,TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPWP No.(TAX ID No.) 0010 0011 8809 2000  ,,,"* 3 ORIGINAL OF CERTIFICATE OF ANALYSIS,  ",,,,,,,CO NUMBER :F2602-TSL-2,,,CO NUMBER :F2602-TSL-2,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,,,,Tel: (+62-267) 440 201 ,,,,,,"* PACKING LIST MUST SHOW GROSS,TARE,AND NET WEIGHT",,,,,,,,,,TC50/BR150L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attn. Mr. Bayu Nasti ,,,,,,* Insurance Policy: *110%*CONTRACT PRICE,,,,,,,,,,C/NO.1-32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*PLEASE ISSUE THE FORM-D WITH UEC INVOICE,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND   Check ( ?) “Retroactively” is only if GAP the BL date and ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Form D date is more than 3 days.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Please kindly send to CONSIGNEE the announcement from shipping line if the BL already surrendered.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Please label BS code no."" TC50 "" on each box.(4 side)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*HS code DOC4002.20.1000 ON ALL DOCS.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pls send us all docs. PDF copy by e-mail as soon as you get all original docs.before courier,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pls send all documents copy to UEC by email,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  No need original courier.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*PLEASE ARRANGE THIS FREE TIME 21 DAYS COMBINED.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*PLEASE SHOW FREE TIME ON BL.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,"BRIDGESTONE TAIWAN CO., LTD.",BSTW_200008199.xls,,MR.T. Fujioka /SEVP,KAWAMORI/UEDA,,200008199,BS TAIWAN PO NO.,200008199,,,,,,"BRIDGESTONE TAIWAN CO.,LTD.",TAIWAN,TSL ,,,,,,,,,KEELUNG TAIWAN,,"BRIDGESTONE TAIWAN CO.,LTD.",,,,,SAME AS CONSIGNEE,,,,*surrendered  B/L,*You don’t need to send all original docs. to BS TAIWAN(ABOVE ADDRESS) direclty by courier. << CHANGE!,,,UBEPOL VCR412,15.12,MT,SYNTHETIC RUBBER ,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,"NO.1, CHUANG CHING ROAD,",,,,,,,,,,,,,"No.1-1, Wenhua RD., Hsinchu Industrial Park",,,,,,,,,*1 SET OF CoA,*Please send ALL docs. PDF copies by E-mail to UBE Tokyo/NO need original coueirer.,,,,,,TC30 UBEPOL  VCR412,,,,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,"HSIN CHU IND.ZONE, TAIWAN.",,,,,,,,,,,,,"Hukou Township, Hsinchu County 30352, Taiwan",,,,,,,,,*1 SET OF MSDS,1.     Please label BS code no. TC30 or TC50 at front and both,,,,,,,,,"BSFC P,O. NO:200008199",
,,,,,FAX:81-3-5419-6250,,,,,,,,,,PHONE:886-35-981621,,,,,,,,,,,,,PHONE:866-3-598-1621,,,,,,,,,*PLEASE PUT THE NAME OF BSFC CODE NO.OF TC 30 or TC50 ON 4 sides of Metal box.,     sides of each your steel box.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mavis Chou (Ms.),,,,,,,,,*PLEASE TAKE the picture of packing outward appearance of 200008199 before you export.,2.     Please make the figure size of BS code no. as following,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,mavis.chou@bridgestone.com,,,,,,,,,*General Insurance policy is accepted.,,,,,,,,,,VCR412/TC30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE NO.:1-12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/W  :  15,120KG",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G/W  :  16,707.6KG",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAKER'S NAMETHAI SYNTHETIC RUBBERS CO, LTD",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUTRY OF ORIGIN:THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,"BRIDGESTONE DE MEXICO, S.A. DE C.V.",PO 4200036311 BS MEXICO Doc.xls,,T.FUJIOKA/SEVP,W. MIYANAMI,,4200036311,,,,,,,,BS MEXICO,MEXICO,TSL WITH FULL ADDRESS,,,,,,,,MANZANILLO MEXICO,MANZANILLO MEXICO,,Bridgestone de México S.A. de C.V.,,21 days COMBINED DET AND DEM,,,SAME AS CCONSIGNEE,,,,*Full set SEA WAY BILL REQUIRED,*Please send all original docs. to BSMX direclty except CIF COMMERCIAL IV (between UEC and TSL) by courier.,,,UBEPOL VCR412,20.16,MT,POLYBUTADIEN RUBBER,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,"THAI SYNTHETIC RUBBERS CO., LTD.",UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,"Juan Vazquez de Mella 481 4°piso - Col Los Morales, Polanco",,,,,,,,,*PLS show the following words on all docs.on all DOCs.,*Please send ALL docs. PDF copies by E-mail to UBE Tokyo/NO need original courier to us.,,,,,,,,,"Bridgestone Mexico,",
,,,,FAX:66-2-685-3056,TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,Tel. (52 55) 5626-6600,,,,,,,,,"""TC030"" ""UBE Elastomer Co. Ltd."" ",,,,,,,,,,SHIP TO :MEXICO,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,RFC: BFM910826TW6,,,,,,,,,*CERTIFICATE OF ANALYSIS including SPECIFICATION AND QUALITY RANGE,,,,,,,,,,ORDER NO.:4200036311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTN:Nathalia Zonzini,,,,,,,,,*CERTIFICATE OF ORIGIN BY TSL MANUFACTURE AND SHOW HS CODE 4002.20.01,,,,,,,,,,ITEM CODE: TC030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Box IV of GPS ($50/box),,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*21 DAYS FREE TIME ( WE CONFIRMED THIS),,,,,,,,,,PRODUCER:THAI SYNTHETIC RUBBER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*FULL SET OF I/P WITH COVERING ALL RISK,,,,,,,,,,,
